title,pathway_hint,topic,concept
Spoken word and storytelling nights,long-term,music & performance,"write it, time it, tell it"
The tin whistle,long-term,music & performance,"cheap, mighty, and very Irish-session"
Kayaking or canoeing with a club,long-term,outdoor pursuits,taster session to river trips
Section-hike a coastal path,long-term,outdoor pursuits,"one stretch at a time, ticked on a map"
Bikepacking overnighters,long-term,outdoor pursuits,"panniers, a field, sunrise coffee"
Learn fly fishing,long-term,outdoor pursuits,"casting is the meditation, fish the bonus"
Geocache the local map clean,long-term,outdoor pursuits,GPS treasure with a leaderboard
Bothy nights,long-term,outdoor pursuits,"free mountain shelters, learn the code"
Natural navigation,long-term,outdoor pursuits,"find your way by stars, sun and moss"
Join conservation workdays,long-term,outdoor pursuits,"river cleans and coppicing, tools provided"
Winter hill skills course,long-term,outdoor pursuits,"crampons and ice axe, taught properly"
Bag a local peak list,long-term,outdoor pursuits,"Wainwrights, Marilyns, or your own"
Learn hedgelaying or drystone walling,long-term,outdoor pursuits,"heritage skills, weekend courses"
UK snorkelling with a group,long-term,outdoor pursuits,"seagrass, rockpools, proper cold-water kit"
Horse riding basics at a stables,long-term,outdoor pursuits,"lessons, mucking in, first hack"
Volunteer at parkrun first,long-term,"clubs, community & volunteering",marshal before you race
Train as a first-aider,long-term,"clubs, community & volunteering","a real course, a real certificate"
Join the repair café,long-term,"clubs, community & volunteering",as fixer or as apprentice
Become a heritage volunteer guide,long-term,"clubs, community & volunteering",learn one building's every secret
Join or start a litter-pick group,long-term,"clubs, community & volunteering","gloves, grabbers, before-and-after photos"
Dog-walking at an animal shelter,long-term,"clubs, community & volunteering",exercise with a wagging bonus
Join a community garden crew,long-term,"clubs, community & volunteering","shared beds, shared harvest"
Befriend an isolated neighbour,long-term,"clubs, community & volunteering",a weekly call or visit through a charity
Toastmasters or a speaking club,long-term,"clubs, community & volunteering","fear of speaking, dismantled weekly"
A book club that finishes books,long-term,"clubs, community & volunteering",or start one with that single rule
Become a school governor or trustee,long-term,"clubs, community & volunteering","real responsibility, real difference"
Learn BSL with a proper course,long-term,"clubs, community & volunteering",from fingerspelling to conversation
